Disc,Track#,Artist,Song,Artist,Disc,Track#
7,78,The Hollies,Long Cool Woman (In a Black Dress),The Hollies,7,78
7,79,The Knack,My Sharona,The Knack,7,79
7,80,The Who,Won't Get Fooled Again,The Who,7,80
7,81,Jethro Tull,Teacher,Jethro Tull,7,81
7,82,Boz Scaggs,Lido Shuffle,Boz Scaggs,7,82
7,83,Neil Diamond,Longfellow Serenade,Neil Diamond,7,83
7,84,Paul McCartney & Wings,My Love,Paul McCartney & Wings,7,84
7,85,Toto,Hold the Line,Toto,7,85
7,86,Blondie,Heart of Glass,Blondie,7,86
7,87,Brownsville Station,Smokin' in the Boys Room,Brownsville Station,7,87
7,88,Edgar Winter Group,Frankenstein,Edgar Winter Group,7,88
7,89,Exile,Kiss You All Over,Exile,7,89
7,90,Grand Funk Railroad,We're An American Band,Grand Funk Railroad,7,90
7,91,Loggins & Messina,Your Mama Don't Dance,Loggins & Messina,7,91
7,92,Procol Harum,Conquistador,Procol Harum,7,92
7,93,James Taylor,You've Got a Friend,James Taylor,7,93
7,94,Neil Diamond,I Am…I Said,Neil Diamond,7,94
7,95,Ambrosia,How Much I Feel,Ambrosia,7,95
7,96,The Beatles,Let It Be,The Beatles,7,96
7,97,Firefall,Strange Way,Firefall,7,97
7,98,Sugarloaf,Green-Eyed Lady,Sugarloaf,7,98
7,99,Eric Clapton,Lay Down Sally,Eric Clapton,7,99
